"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
"103" 1 "MetsaKeskim" 2 0.0873563519737129 0.00286902795619991 0.000849143719395142 0.00171532857346768 0.000259840891149388 4.0782202646765e-05 0 0 3.67039823820885e-05 0 0 0 0 0 0 0 0 8.15644052935299e-05 0 0 0 0 0 0 0 0 0 0 0 0 0
"104" 2 "MetsaKeskim" 2 0.00100334448160535 0.114925939860556 0.000427350427350427 0.0021553325901152 0.000222965440356744 0.000390189520624303 0.000306577480490524 8.36120401337793e-05 8.36120401337793e-05 0 0 0 0 0 0 0 0 0.000209030100334448 0 0 0 0 0 0 0 0 0 0 0 0 0
"105" 3 "MetsaKeskim" 2 0.000619195046439628 0 0.0811145510835913 0.00757531082608482 0.000696594427244583 0.000309597523219815 0 0.000442282176028308 0.000619195046439629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" 4 "MetsaKeskim" 2 0.000245851259987708 0.000382435293314211 0.00186583545526385 0.136048916595936 0.00090486922078809 0.00105511165744724 0.000122925629993854 0.000737553779963122 0.000737553779963122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"107" 5 "MetsaKeskim" 2 0 0 0 0 0.126071428571429 0.00333333333333333 0 0.00333333333333333 0.00476190476190476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"108" 6 "MetsaKeskim" 2 0 0.00313971742543171 0 0 0.00496626860897702 0.153532182103611 0 0 0.0043956043956044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"109" 7 "MetsaKeskim" 2 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"110" 8 "MetsaKeskim" 2 0 0.00555555555555555 0 0 0 0.0347222222222222 0 0.272839506172839 0.028495635240626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"111" 9 "MetsaKeskim" 2 0 0 0 0 0 0 0 0.0428571428571429 0.0571428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"112" 11 "MetsaKeskim" 2 0 0 0 0 0 0 0 0 0 0 0.0727272727272727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"113" 14 "MetsaKeskim" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0.194444444444445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"114" 24 "MetsaKeskim" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"115" 28 "MetsaKeskim" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.231990231990232 0 0 0
"116" 1 "MetsaTiheaTaimikko" 2 0.10188679245283 0.00150943396226415 0 0.00150943396226415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
